NodeKey,DeckTitle,CardOrder,FrontText,BackText,Hint
c1b7,Từ khoá – Thứ tự thực hiện các phép tính,2,Thứ tự ngoặc,$(\ )$ → $[\ ]$ → $\{\ \}$.,
c1b7,Từ khoá – Thứ tự thực hiện các phép tính,3,Phép cùng mức,Thực hiện từ trái sang phải.,
c2b8,Từ khoá – Quan hệ chia hết và tính chất,1,$a\ \vdots\ b$,$a$ chia hết cho $b$: tồn tại $q$ để $a=bq$.,
c2b8,Từ khoá – Quan hệ chia hết và tính chất,2,Ước / Bội,"Nếu $a\ \vdots\ b$ thì $b$ là ước của $a$, $a$ là bội của $b$.",
c2b8,Từ khoá – Quan hệ chia hết và tính chất,3,Tổng chia hết,Các số hạng cùng $\vdots\ m$ thì tổng $\vdots\ m$.,
c2b9,Từ khoá – Dấu hiệu chia hết,1,Chia hết cho 2,Chữ số tận cùng chẵn.,
c2b9,Từ khoá – Dấu hiệu chia hết,2,Chia hết cho 5,Chữ số tận cùng là 0 hoặc 5.,
c2b9,Từ khoá – Dấu hiệu chia hết,3,Chia hết cho 9,Tổng các chữ số chia hết cho 9.,
c2b9,Từ khoá – Dấu hiệu chia hết,4,Chia hết cho 3,Tổng các chữ số chia hết cho 3.,
c2b10,Từ khoá – Số nguyên tố,1,Số nguyên tố,"Số tự nhiên $>1$, chỉ có 2 ước: 1 và chính nó.",
c2b10,Từ khoá – Số nguyên tố,2,Hợp số,"Số tự nhiên $>1$, có nhiều hơn 2 ước.",
c2b10,Từ khoá – Số nguyên tố,3,Số nguyên tố chẵn duy nhất,Số 2.,
c2b10,Từ khoá – Số nguyên tố,4,Phân tích ra thừa số nguyên tố,"Viết số thành tích các số nguyên tố, ví dụ $120=2^3\cdot3\cdot5$.",
c2b11,Từ khoá – Ước chung. Ước chung lớn nhất,1,ƯC,Số là ước của tất cả các số đã cho.,
c2b11,Từ khoá – Ước chung. Ước chung lớn nhất,2,ƯCLN,Ước chung lớn nhất.,
c2b11,Từ khoá – Ước chung. Ước chung lớn nhất,3,Nguyên tố cùng nhau,ƯCLN bằng 1.,
c2b11,Từ khoá – Ước chung. Ước chung lớn nhất,4,Dùng để,Rút gọn phân số về tối giản.,
c2b12,Từ khoá – Bội chung. Bội chung nhỏ nhất,1,BC,Số là bội của tất cả các số đã cho.,
c2b12,Từ khoá – Bội chung. Bội chung nhỏ nhất,2,BCNN,Bội chung nhỏ nhất (khác 0).,
c2b12,Từ khoá – Bội chung. Bội chung nhỏ nhất,3,Dùng để,Quy đồng mẫu số nhiều phân số.,
c2b12,Từ khoá – Bội chung. Bội chung nhỏ nhất,4,Liên hệ,"$\mathrm{ƯCLN}(a,b)\cdot\mathrm{BCNN}(a,b)=a\cdot b$.",
c3b13,Từ khoá – Tập hợp các số nguyên,1,$\mathbb{Z}$,"Tập hợp các số nguyên âm, 0 và nguyên dương.",
c3b13,Từ khoá – Tập hợp các số nguyên,2,Số nguyên âm,"Số viết với dấu ""−"" trước một số tự nhiên khác 0.",
c3b13,Từ khoá – Tập hợp các số nguyên,3,Số đối của $a$,$-a$; ví dụ số đối của 4 là $-4$.,
c3b13,Từ khoá – Tập hợp các số nguyên,4,$|a|$,Giá trị tuyệt đối — khoảng cách từ $a$ đến 0.,
c3b14,Từ khoá – Phép cộng và phép trừ số nguyên,1,Cộng hai số nguyên âm,$(-a)+(-b)=-(a+b)$.,
c3b14,Từ khoá – Phép cộng và phép trừ số nguyên,2,Cộng hai số đối nhau,Bằng 0.,
c3b14,Từ khoá – Phép cộng và phép trừ số nguyên,3,Quy tắc trừ,$a-b=a+(-b)$.,
c3b14,Từ khoá – Phép cộng và phép trừ số nguyên,4,Cộng khác dấu,"Hiệu hai |giá trị|, lấy dấu số có |giá trị| lớn hơn.",
c3b15,Từ khoá – Quy tắc dấu ngoặc,1,"Bỏ ngoặc sau dấu ""+""",Giữ nguyên dấu các số hạng.,
c3b15,Từ khoá – Quy tắc dấu ngoặc,2,"Bỏ ngoặc sau dấu ""−""",Đổi dấu tất cả các số hạng.,
c3b15,Từ khoá – Quy tắc dấu ngoặc,3,Tổng đại số,"Dãy phép cộng, trừ; được đổi chỗ và nhóm tuỳ ý (kèm dấu).",
c3b16,Từ khoá – Phép nhân số nguyên,1,Khác dấu × ,"Kết quả mang dấu ""−"".",
c3b16,Từ khoá – Phép nhân số nguyên,2,Cùng dấu ×,"Kết quả mang dấu ""+"".",
c3b16,Từ khoá – Phép nhân số nguyên,3,Âm × Âm,Bằng số dương.,
c3b16,Từ khoá – Phép nhân số nguyên,4,Đếm dấu âm,Chẵn thừa số âm → dương; lẻ → âm.,
c3b17,Từ khoá – Phép chia hết. Ước và bội của một số nguyên,1,Chia hết trong $\mathbb{Z}$,$a=bq$ với $q$ nguyên.,
c3b17,Từ khoá – Phép chia hết. Ước và bội của một số nguyên,2,Dấu của thương,"Cùng dấu → ""+"", khác dấu → ""−"".",
c3b17,Từ khoá – Phép chia hết. Ước và bội của một số nguyên,3,Ước của số nguyên,"Gồm cả ước âm, ví dụ $Ư(6)=\{\pm1;\pm2;\pm3;\pm6\}$.",
c4b18,Từ khoá – Hình tam giác đều. Hình vuông. Hình lục giác đều,1,Tam giác đều,"3 cạnh bằng nhau, mỗi góc $60^\circ$.",
c4b18,Từ khoá – Hình tam giác đều. Hình vuông. Hình lục giác đều,2,Hình vuông,"4 cạnh bằng nhau, 4 góc vuông.",
c4b18,Từ khoá – Hình tam giác đều. Hình vuông. Hình lục giác đều,3,Lục giác đều,"6 cạnh bằng nhau, 6 góc bằng nhau.",
c4b18,Từ khoá – Hình tam giác đều. Hình vuông. Hình lục giác đều,4,Chu vi hình vuông,$P=4a$; diện tích $S=a^2$.,
c4b19,Từ khoá – Hình chữ nhật. Hình thoi. Hình bình hành. Hình thang cân,1,Hình chữ nhật,"4 góc vuông, hai đường chéo bằng nhau.",
c4b19,Từ khoá – Hình chữ nhật. Hình thoi. Hình bình hành. Hình thang cân,2,Hình thoi,"4 cạnh bằng nhau, hai đường chéo vuông góc.",
c4b19,Từ khoá – Hình chữ nhật. Hình thoi. Hình bình hành. Hình thang cân,3,Hình bình hành,Các cạnh đối song song và bằng nhau.,
c4b19,Từ khoá – Hình chữ nhật. Hình thoi. Hình bình hành. Hình thang cân,4,Hình thang cân,"Hai cạnh bên bằng nhau, hai đường chéo bằng nhau.",
c4b20,Từ khoá – Chu vi và diện tích của một số tứ giác đã học,1,Chu vi,Tổng độ dài các cạnh.,
c4b20,Từ khoá – Chu vi và diện tích của một số tứ giác đã học,2,Diện tích hình bình hành,$S=a\cdot h$.,
c4b20,Từ khoá – Chu vi và diện tích của một số tứ giác đã học,3,Diện tích hình thoi,$S=\dfrac{1}{2}\cdot d_1\cdot d_2$.,
c4b20,Từ khoá – Chu vi và diện tích của một số tứ giác đã học,4,Diện tích hình thang,$S=\dfrac{1}{2}(a+b)\cdot h$.,
c5b21,Từ khoá – Hình có trục đối xứng,1,Trục đối xứng,Đường gấp làm hai nửa hình chồng khít.,
c5b21,Từ khoá – Hình có trục đối xứng,2,Hình vuông,Có 4 trục đối xứng.,
c5b21,Từ khoá – Hình có trục đối xứng,3,Hình chữ nhật,Có 2 trục đối xứng.,
c5b21,Từ khoá – Hình có trục đối xứng,4,Hình tròn,Có vô số trục đối xứng.,
c5b22,Từ khoá – Hình có tâm đối xứng,1,Tâm đối xứng,Điểm quay hình nửa vòng thì hình trùng chính nó.,
c5b22,Từ khoá – Hình có tâm đối xứng,2,Hình bình hành,"Có tâm đối xứng, không có trục đối xứng.",
c5b22,Từ khoá – Hình có tâm đối xứng,3,Đoạn thẳng,Tâm đối xứng là trung điểm.,
c5b23,Từ khoá – Vai trò của tính đối xứng trong thế giới tự nhiên,1,Đối xứng trong tự nhiên,"Cánh bướm, bông tuyết, lá cây, tổ ong.",
c5b23,Từ khoá – Vai trò của tính đối xứng trong thế giới tự nhiên,2,Lợi ích,"Cân đối, hài hoà, vững chắc, tiết kiệm vật liệu.",
c6b24,Từ khoá – Mở rộng phân số. Phân số bằng nhau,1,Phân số,"$\dfrac{a}{b}$ với $a,b$ nguyên, $b\ne0$.",
c6b24,Từ khoá – Mở rộng phân số. Phân số bằng nhau,2,Bằng nhau,$\dfrac{a}{b}=\dfrac{c}{d}\iff ad=bc$.,
c6b24,Từ khoá – Mở rộng phân số. Phân số bằng nhau,3,Tính chất cơ bản,Nhân/chia cả tử và mẫu cho cùng số khác 0.,
c6b24,Từ khoá – Mở rộng phân số. Phân số bằng nhau,4,Tối giản,"ƯCLN(|tử|, |mẫu|) $=1$.",
c6b25,Từ khoá – Phép cộng và phép trừ phân số,1,Cùng mẫu,"Cộng/trừ tử, giữ nguyên mẫu.",
c6b25,Từ khoá – Phép cộng và phép trừ phân số,2,Khác mẫu,Quy đồng mẫu rồi cộng/trừ.,
c6b25,Từ khoá – Phép cộng và phép trừ phân số,3,Số đối của $\dfrac{a}{b}$,$\dfrac{-a}{b}$.,
c6b25,Từ khoá – Phép cộng và phép trừ phân số,4,Quy tắc trừ,Cộng với số đối.,
c6b26,Từ khoá – Phép nhân và phép chia phân số,1,Nhân phân số,"Tử nhân tử, mẫu nhân mẫu.",
c6b26,Từ khoá – Phép nhân và phép chia phân số,2,Nghịch đảo của $\dfrac{a}{b}$,$\dfrac{b}{a}$.,
c6b26,Từ khoá – Phép nhân và phép chia phân số,3,Chia phân số,Nhân với phân số nghịch đảo.,
c6b27,Từ khoá – Hai bài toán về phân số,1,Tìm phân số của một số,Nhân số đó với phân số.,
c6b27,Từ khoá – Hai bài toán về phân số,2,Tìm số biết phân số của nó,Chia giá trị đã cho cho phân số.,
c7b28,Từ khoá – Số thập phân,1,Số thập phân,"Phần nguyên, dấu phẩy, phần thập phân.",
c7b28,Từ khoá – Số thập phân,2,"$0{,}7$",$=\dfrac{7}{10}$.,
c7b28,Từ khoá – Số thập phân,3,So sánh,Âm < dương; cùng dấu thì so từng hàng.,
c7b28,Từ khoá – Số thập phân,4,Số đối của $a$,"Số thập phân trái dấu, cùng độ lớn.",
c7b29,Từ khoá – Tính toán với số thập phân,1,"Cộng, trừ",Đặt dấu phẩy thẳng cột.,
c7b29,Từ khoá – Tính toán với số thập phân,2,Nhân,Nhân như số tự nhiên rồi đếm chữ số thập phân.,
c7b29,Từ khoá – Tính toán với số thập phân,3,Chia cho số thập phân,Nhân cả hai với $10;100;\dots$ để mẫu thành số tự nhiên.,
c7b30,Từ khoá – Làm tròn và ước lượng,1,Chữ số $\ge 5$,Làm tròn lên.,
c7b30,Từ khoá – Làm tròn và ước lượng,2,Chữ số $<5$,Làm tròn xuống (giữ nguyên).,
c7b30,Từ khoá – Làm tròn và ước lượng,3,Ước lượng,Làm tròn rồi tính nhẩm để kiểm tra.,
c7b30,Từ khoá – Làm tròn và ước lượng,4,Kí hiệu,"$\approx$ nghĩa là ""xấp xỉ"".",
c7b31,Từ khoá – Một số bài toán về tỉ số và tỉ số phần trăm,1,Tỉ số của $a$ và $b$,$a:b=\dfrac{a}{b}$.,
c7b31,Từ khoá – Một số bài toán về tỉ số và tỉ số phần trăm,2,Tỉ số phần trăm,$\dfrac{a}{b}\cdot100\%$.,
c7b31,Từ khoá – Một số bài toán về tỉ số và tỉ số phần trăm,3,$p\%$ của $a$,$a\cdot\dfrac{p}{100}$.,
c8b32,Từ khoá – Điểm và đường thẳng,1,Qua 2 điểm phân biệt,Có duy nhất một đường thẳng.,
c8b32,Từ khoá – Điểm và đường thẳng,2,$A\in d$,Điểm $A$ thuộc đường thẳng $d$.,
c8b32,Từ khoá – Điểm và đường thẳng,3,Thẳng hàng,Các điểm cùng thuộc một đường thẳng.,
c8b32,Từ khoá – Điểm và đường thẳng,4,Hai đường thẳng song song,Không có điểm chung.,
c8b33,Từ khoá – Điểm nằm giữa hai điểm. Tia,1,Tia gốc $O$,Điểm $O$ và một phần đường thẳng do $O$ chia ra.,
c8b33,Từ khoá – Điểm nằm giữa hai điểm. Tia,2,Hai tia đối nhau,"Chung gốc, hợp thành một đường thẳng.",
c8b33,Từ khoá – Điểm nằm giữa hai điểm. Tia,3,Hai tia trùng nhau,Chung gốc và một điểm chung khác gốc.,
c8b34,Từ khoá – Đoạn thẳng. Độ dài đoạn thẳng,1,Đoạn thẳng $AB$,"Hai mút $A,B$ và mọi điểm nằm giữa.",
c8b34,Từ khoá – Đoạn thẳng. Độ dài đoạn thẳng,2,Hệ thức cộng,"$M$ giữa $A,B$ $\iff AM+MB=AB$.",
c8b34,Từ khoá – Đoạn thẳng. Độ dài đoạn thẳng,3,Hai đoạn thẳng bằng nhau,Có cùng độ dài.,
c8b35,Từ khoá – Trung điểm của đoạn thẳng,1,Trung điểm $M$ của $AB$,$M$ nằm giữa và $MA=MB$.,
c8b35,Từ khoá – Trung điểm của đoạn thẳng,2,Độ dài,$MA=MB=\dfrac{AB}{2}$.,
c8b35,Từ khoá – Trung điểm của đoạn thẳng,3,Số trung điểm,Mỗi đoạn thẳng có đúng một.,
c8b36,Từ khoá – Góc,1,Góc,Hình gồm hai tia chung gốc.,
c8b36,Từ khoá – Góc,2,Đỉnh / cạnh,Gốc chung là đỉnh; hai tia là hai cạnh.,
c8b36,Từ khoá – Góc,3,Góc bẹt,Hai cạnh là hai tia đối nhau.,
c8b36,Từ khoá – Góc,4,Kí hiệu,$\widehat{xOy}$ với đỉnh $O$.,
c8b37,Từ khoá – Số đo góc,1,Đơn vị số đo góc,"Độ, kí hiệu $^\circ$.",
c8b37,Từ khoá – Số đo góc,2,Góc vuông,$90^\circ$.,
c8b37,Từ khoá – Số đo góc,3,Góc tù,"Lớn hơn $90^\circ$, nhỏ hơn $180^\circ$.",
c8b37,Từ khoá – Số đo góc,4,Cộng số đo góc,"$Oy$ giữa $Ox,Oz$ thì $\widehat{xOy}+\widehat{yOz}=\widehat{xOz}$.",
c9b38,Từ khoá – Dữ liệu và thu thập dữ liệu,1,Dữ liệu số,"Ví dụ: chiều cao, số học sinh, nhiệt độ.",
c9b38,Từ khoá – Dữ liệu và thu thập dữ liệu,2,Dữ liệu không phải số,"Ví dụ: màu sắc, tên, sở thích.",
c9b38,Từ khoá – Dữ liệu và thu thập dữ liệu,3,Cách thu thập,"Quan sát, thí nghiệm, phiếu hỏi, phỏng vấn, tra cứu.",
c9b39,Từ khoá – Bảng thống kê và biểu đồ tranh,1,Bảng thống kê,Dữ liệu sắp theo hàng và cột.,
c9b39,Từ khoá – Bảng thống kê và biểu đồ tranh,2,Biểu đồ tranh,Mỗi biểu tượng thay cho một số lượng cố định.,
c9b39,Từ khoá – Bảng thống kê và biểu đồ tranh,3,Chú giải,Cho biết một biểu tượng ứng với bao nhiêu đơn vị.,
c9b40,Từ khoá – Biểu đồ cột,1,Biểu đồ cột,Chiều cao cột tỉ lệ với số liệu.,
c9b40,Từ khoá – Biểu đồ cột,2,Trục ngang / trục đứng,Loại đối tượng / giá trị số liệu.,
c9b40,Từ khoá – Biểu đồ cột,3,So sánh,Cột cao hơn → số liệu lớn hơn.,
c9b41,Từ khoá – Biểu đồ cột kép,1,Biểu đồ cột kép,So sánh hai bộ dữ liệu cùng loại.,
c9b41,Từ khoá – Biểu đồ cột kép,2,Chú giải màu,Mỗi màu ứng với một bộ dữ liệu.,
c9b41,Từ khoá – Biểu đồ cột kép,3,Đọc theo nhóm,So sánh trong nhóm và giữa các nhóm.,
c9b42,"Từ khoá – Kết quả có thể và sự kiện trong một trò chơi, thí nghiệm",1,Phép thử,"Hành động như tung xu, gieo xúc xắc, quay vòng số.",
c9b42,"Từ khoá – Kết quả có thể và sự kiện trong một trò chơi, thí nghiệm",2,Kết quả có thể,Một khả năng có thể xảy ra của phép thử.,
c9b42,"Từ khoá – Kết quả có thể và sự kiện trong một trò chơi, thí nghiệm",3,Sự kiện,"Có thể xảy ra hoặc không, tuỳ kết quả.",
c9b43,Từ khoá – Xác suất thực nghiệm,1,Xác suất thực nghiệm,$\dfrac{\text{số lần xảy ra}}{\text{tổng số lần thử}}$.,
c9b43,Từ khoá – Xác suất thực nghiệm,2,Giá trị,Là một số từ 0 đến 1.,
c9b43,Từ khoá – Xác suất thực nghiệm,3,Khi tăng số lần thử,Xác suất thực nghiệm dần ổn định.,
