NodeKey,OrderIndex,BlockType,ContentText,ContentUrl,MetadataJson
c1b7,4,Definition,"**Quy tắc (biểu thức có dấu ngoặc).** Thực hiện trong ngoặc tròn $(\ )$ trước, rồi ngoặc vuông $[\ ]$, rồi ngoặc nhọn $\{\ \}$.",,
c1b7,5,Formula,(\ )\ \to\ [\ ]\ \to\ \{\ \},,
c1b7,6,Example,"**Ví dụ.** Tính $5+3\cdot 2^3$.

**Lời giải.** $5+3\cdot 2^3=5+3\cdot 8=5+24=29$ (luỹ thừa trước, rồi nhân, rồi cộng).",,
c1b7,7,Example,"**Ví dụ.** Tính $80:\big\{[(11-2)\cdot 2]+2\big\}$.

**Lời giải.** $=80:\{[9\cdot 2]+2\}=80:\{18+2\}=80:20=4$ (làm trong ngoặc tròn, rồi ngoặc vuông, rồi ngoặc nhọn).",,
c1b7,8,Note,"**Chú ý.** Nếu chỉ có cộng và trừ, hoặc chỉ có nhân và chia, thì luôn thực hiện từ trái sang phải.",,
c1lt,1,Heading,# Luyện tập chung — Chương I,,
c1lt,2,Text,"Ôn lại: cách cho tập hợp, ghi số tự nhiên và giá trị theo vị trí, so sánh và thứ tự, bốn phép tính cùng tính chất, luỹ thừa và thứ tự thực hiện các phép tính.",,
c1lt,3,Note,**Chú ý.** Hãy làm phần bài tập đính kèm của bài này để tự kiểm tra. Ghi lại những câu sai để ôn lại lý thuyết tương ứng.,,
c1cc,1,Heading,# Bài tập cuối chương I,,
c1cc,2,Text,"Tổng hợp toàn chương: tập hợp số tự nhiên $\mathbb{N}$, $\mathbb{N}^*$; tính nhanh bằng tính chất các phép tính; luỹ thừa; tính giá trị biểu thức; giải bài toán thực tế bằng phép tính.",,
c1cc,3,Note,**Chú ý.** Hãy làm phần bài tập đính kèm của bài này để tự kiểm tra. Ghi lại những câu sai để ôn lại lý thuyết tương ứng.,,
c2b8,1,Heading,# Bài 8. Quan hệ chia hết và tính chất,,
c2b8,2,Text,"Chương này nghiên cứu khi nào một số chia hết cho số khác và các ứng dụng: ước, bội, số nguyên tố, ƯCLN, BCNN.",,
c2b8,3,Definition,"**Chia hết.** Cho hai số tự nhiên $a$ và $b$ với $b\ne 0$. Nếu có số tự nhiên $q$ sao cho $a=b\cdot q$ thì ta nói $a$ chia hết cho $b$, kí hiệu $a\ \vdots\ b$. Khi đó $b$ là *ước* của $a$ và $a$ là *bội* của $b$.",,
c2b8,4,Formula,"a\ \vdots\ b \iff \exists\,q\in\mathbb{N}:\ a=b\cdot q",,
c2b8,5,Example,"**Ví dụ.** Tìm tất cả các ước của 12 và năm bội đầu tiên của 4.

**Lời giải.** Ư(12) $=\{1;2;3;4;6;12\}$. Bội của 4: $0;4;8;12;16;\dots$",,
c2b8,6,Definition,**Tính chất chia hết của một tổng.** Nếu tất cả các số hạng của một tổng đều chia hết cho $m$ thì tổng chia hết cho $m$. Nếu chỉ một số hạng không chia hết cho $m$ còn các số hạng khác chia hết cho $m$ thì tổng không chia hết cho $m$.,,
c2b8,7,Formula,a\ \vdots\ m\ \text{và}\ b\ \vdots\ m \Rightarrow (a+b)\ \vdots\ m\ \text{và}\ (a-b)\ \vdots\ m,,
c2b8,8,Note,**Chú ý.** Số 0 chia hết cho mọi số tự nhiên khác 0. Mọi số tự nhiên đều chia hết cho 1 và cho chính nó.,,
c2b9,1,Heading,# Bài 9. Dấu hiệu chia hết,,
c2b9,2,Text,"Có thể nhận biết một số chia hết cho 2, 5, 3, 9 mà không cần đặt tính chia.",,
c2b9,3,Definition,**Dấu hiệu chia hết cho 2 và cho 5.** Số chia hết cho 2 khi và chỉ khi chữ số tận cùng là chữ số chẵn ($0;2;4;6;8$). Số chia hết cho 5 khi và chỉ khi chữ số tận cùng là $0$ hoặc $5$.,,
c2b9,4,Definition,**Dấu hiệu chia hết cho 3 và cho 9.** Số chia hết cho 9 khi và chỉ khi tổng các chữ số của nó chia hết cho 9. Số chia hết cho 3 khi và chỉ khi tổng các chữ số của nó chia hết cho 3.,,
c2b9,5,Formula,\overline{a_1a_2\ldots a_n}\ \vdots\ 9 \iff (a_1+a_2+\cdots+a_n)\ \vdots\ 9,,
c2b9,6,Example,"**Ví dụ.** Trong các số 372; 405; 2130, số nào chia hết cho 3, cho 9, cho cả 2 và 5?

**Lời giải.** $372$: tổng chữ số $12\ \vdots\ 3$ nên $372\ \vdots\ 3$ (không $\vdots\ 9$). $405$: tổng $9\ \vdots\ 9$ nên $\vdots\ 3$ và $\vdots\ 9$. $2130$ tận cùng là 0 nên chia hết cho cả 2 và 5; tổng chữ số $6\ \vdots\ 3$.",,
c2b9,7,Note,**Chú ý.** Một số chia hết cho 9 thì chắc chắn chia hết cho 3; điều ngược lại không đúng.,,
c2b10,1,Heading,# Bài 10. Số nguyên tố,,
c2b10,2,Definition,"**Số nguyên tố – hợp số.** Số nguyên tố là số tự nhiên lớn hơn 1, chỉ có hai ước là 1 và chính nó. Hợp số là số tự nhiên lớn hơn 1 và có nhiều hơn hai ước.",,
c2b10,3,Text,Các số nguyên tố nhỏ hơn 20: $2;3;5;7;11;13;17;19$. Số 2 là số nguyên tố chẵn duy nhất.,,
c2b10,4,Definition,**Phân tích một số ra thừa số nguyên tố.** là viết số đó thành tích các thừa số nguyên tố. Mỗi hợp số phân tích được duy nhất (không kể thứ tự). Có thể dùng *sơ đồ cây* hoặc chia lần lượt cho các số nguyên tố tăng dần.,,
c2b10,5,Formula,120=2^3\cdot 3\cdot 5,,
c2b10,6,Example,"**Ví dụ.** Phân tích 84 ra thừa số nguyên tố.

**Lời giải.** $84=2\cdot 42=2\cdot 2\cdot 21=2^2\cdot 3\cdot 7$.",,
c2b10,7,Note,"**Chú ý.** Số 0 và số 1 không phải số nguyên tố, cũng không phải hợp số.",,
c2b11,1,Heading,# Bài 11. Ước chung. Ước chung lớn nhất,,
c2b11,2,Definition,"**Ước chung – ƯCLN.** Ước chung của hai hay nhiều số là ước của tất cả các số đó. Ước chung lớn nhất (ƯCLN) là số lớn nhất trong các ước chung, kí hiệu $\mathrm{ƯCLN}(a,b)$.",,
c2b11,3,Definition,"**Cách tìm ƯCLN bằng phân tích ra thừa số nguyên tố.** Bước 1: phân tích mỗi số ra thừa số nguyên tố. Bước 2: chọn các thừa số nguyên tố *chung*. Bước 3: lập tích các thừa số đó, mỗi thừa số lấy với số mũ *nhỏ nhất*.",,
c2b11,4,Formula,"36=2^2\cdot 3^2,\quad 60=2^2\cdot 3\cdot 5 \Rightarrow \mathrm{ƯCLN}(36,60)=2^2\cdot 3=12",,
c2b11,5,Example,"**Ví dụ.** Rút gọn phân số $\dfrac{36}{60}$ về phân số tối giản.

**Lời giải.** $\mathrm{ƯCLN}(36,60)=12$ nên $\dfrac{36}{60}=\dfrac{36:12}{60:12}=\dfrac{3}{5}$.",,
c2b11,6,Definition,"**Hai số nguyên tố cùng nhau.** là hai số có ƯCLN bằng 1, ví dụ 8 và 15.",,
c2b11,7,Note,"**Chú ý.** Ước chung của $a$ và $b$ chính là các ước của $\mathrm{ƯCLN}(a,b)$.",,
c2b12,1,Heading,# Bài 12. Bội chung. Bội chung nhỏ nhất,,
c2b12,2,Definition,"**Bội chung – BCNN.** Bội chung của hai hay nhiều số là bội của tất cả các số đó. Bội chung nhỏ nhất (BCNN) là số nhỏ nhất khác 0 trong các bội chung, kí hiệu $\mathrm{BCNN}(a,b)$.",,
c2b12,3,Definition,"**Cách tìm BCNN bằng phân tích ra thừa số nguyên tố.** Bước 1: phân tích mỗi số ra thừa số nguyên tố. Bước 2: chọn các thừa số nguyên tố *chung và riêng*. Bước 3: lập tích các thừa số đó, mỗi thừa số lấy với số mũ *lớn nhất*.",,
c2b12,4,Formula,"8=2^3,\quad 12=2^2\cdot 3 \Rightarrow \mathrm{BCNN}(8,12)=2^3\cdot 3=24",,
c2b12,5,Example,"**Ví dụ.** Quy đồng mẫu hai phân số $\dfrac{5}{8}$ và $\dfrac{7}{12}$.

**Lời giải.** Mẫu chung nhỏ nhất là $\mathrm{BCNN}(8,12)=24$: $\dfrac{5}{8}=\dfrac{15}{24}$, $\dfrac{7}{12}=\dfrac{14}{24}$.",,
c2b12,6,Formula,"\mathrm{ƯCLN}(a,b)\cdot \mathrm{BCNN}(a,b)=a\cdot b",,
c2b12,7,Note,**Chú ý.** BCNN của các số đôi một nguyên tố cùng nhau bằng tích của chúng.,,
c2lt,1,Heading,# Luyện tập chung — Chương II,,
c2lt,2,Text,"Ôn lại: quan hệ chia hết và tính chất của tổng; các dấu hiệu chia hết cho 2, 5, 3, 9; số nguyên tố và phân tích ra thừa số nguyên tố; tìm ƯCLN, BCNN.",,
c2lt,3,Note,**Chú ý.** Hãy làm phần bài tập đính kèm của bài này để tự kiểm tra. Ghi lại những câu sai để ôn lại lý thuyết tương ứng.,,
c2cc,1,Heading,# Bài tập cuối chương II,,
c2cc,2,Text,"Tổng hợp toàn chương: vận dụng dấu hiệu chia hết; phân tích ra thừa số nguyên tố; dùng ƯCLN, BCNN giải bài toán chia đều, xếp hàng, lịch trùng nhau.",,
c2cc,3,Note,**Chú ý.** Hãy làm phần bài tập đính kèm của bài này để tự kiểm tra. Ghi lại những câu sai để ôn lại lý thuyết tương ứng.,,
c3b13,1,Heading,# Bài 13. Tập hợp các số nguyên,,
c3b13,2,Text,"Nhiệt độ dưới $0^\circ\text{C}$, độ cao dưới mực nước biển, số tiền nợ… được biểu thị bằng *số nguyên âm* — viết bằng dấu ""$-$"" đứng trước một số tự nhiên khác 0.",,
c3b13,3,Definition,"**Tập hợp số nguyên.** gồm các số nguyên âm, số 0 và các số nguyên dương, kí hiệu $\mathbb{Z}$.",,
c3b13,4,Formula,\mathbb{Z}=\{\ldots;-3;-2;-1;0;1;2;3;\ldots\},,
c3b13,5,Definition,"**Thứ tự trong $\mathbb{Z}$ và số đối.** Trên trục số nằm ngang, điểm biểu diễn số nhỏ nằm bên trái. Mọi số nguyên âm đều nhỏ hơn 0 và nhỏ hơn mọi số nguyên dương. Số đối của $a$ là $-a$; số đối của $-a$ là $a$.",,
c3b13,6,Example,"**Ví dụ.** Sắp xếp các số $-5;\ 3;\ 0;\ -1;\ 2$ theo thứ tự tăng dần.

**Lời giải.** $-5<-1<0<2<3$.",,
c3b13,7,Note,**Chú ý.** $-(-7)=7$. Số 0 là số đối của chính nó. $|a|$ là khoảng cách từ điểm $a$ đến gốc 0 trên trục số.,,
c3b14,1,Heading,# Bài 14. Phép cộng và phép trừ số nguyên,,
c3b14,2,Definition,"**Cộng hai số nguyên cùng dấu.** Cộng hai số nguyên dương như cộng hai số tự nhiên. Cộng hai số nguyên âm: cộng hai giá trị tuyệt đối rồi đặt dấu ""$-$"" trước kết quả.",,
c3b14,3,Formula,"(-a)+(-b)=-(a+b)\quad (a,b>0)",,
c3b14,4,Definition,"**Cộng hai số nguyên khác dấu.** lấy giá trị tuyệt đối lớn trừ giá trị tuyệt đối nhỏ, rồi đặt trước kết quả dấu của số có giá trị tuyệt đối lớn hơn. Hai số đối nhau có tổng bằng 0.",,
c3b14,5,Example,"**Ví dụ.** Tính $(-7)+4$ và $(-3)+(-9)$.

**Lời giải.** $(-7)+4=-(7-4)=-3$. $(-3)+(-9)=-(3+9)=-12$.",,
c3b14,6,Definition,"**Phép trừ hai số nguyên.** Muốn trừ $a$ cho $b$, ta cộng $a$ với số đối của $b$: $a-b=a+(-b)$.",,
c3b14,7,Example,"**Ví dụ.** Nhiệt độ đang là $-4^\circ\text{C}$, giảm thêm $6^\circ\text{C}$. Nhiệt độ mới là bao nhiêu?

**Lời giải.** $(-4)-6=(-4)+(-6)=-10$. Nhiệt độ mới là $-10^\circ\text{C}$.",,
c3b14,8,Note,**Chú ý.** Phép cộng số nguyên có tính giao hoán và kết hợp; $a+0=a$; $a+(-a)=0$.,,
c3b15,1,Heading,# Bài 15. Quy tắc dấu ngoặc,,
c3b15,2,Definition,"**Quy tắc dấu ngoặc.** Khi bỏ dấu ngoặc có dấu ""$+$"" đứng trước, giữ nguyên dấu các số hạng trong ngoặc. Khi bỏ dấu ngoặc có dấu ""$-$"" đứng trước, đổi dấu tất cả các số hạng trong ngoặc.",,
c3b15,3,Formula,a+(b-c)=a+b-c;\qquad a-(b-c)=a-b+c,,
c3b15,4,Example,"**Ví dụ.** Tính hợp lí $(-215)+\big[(-45)+215+45\big]$.

**Lời giải.** $=(-215)+(-45)+215+45=\big[(-215)+215\big]+\big[(-45)+45\big]=0+0=0$.",,
c3b15,5,Definition,"**Tổng đại số.** là dãy các phép cộng và trừ số nguyên. Trong một tổng đại số, ta có thể đổi chỗ các số hạng kèm dấu của chúng, hoặc nhóm các số hạng một cách tuỳ ý.",,
c3b15,6,Note,"**Chú ý.** Nhờ quy tắc dấu ngoặc, ta thường nhóm các số đối nhau hoặc các số tròn chục để tính nhanh.",,
c3b16,1,Heading,# Bài 16. Phép nhân số nguyên,,
c3b16,2,Definition,"**Nhân hai số nguyên khác dấu.** nhân hai giá trị tuyệt đối rồi đặt dấu ""$-$"" trước kết quả.",,
c3b16,3,Definition,"**Nhân hai số nguyên cùng dấu.** nhân hai giá trị tuyệt đối; kết quả mang dấu ""$+$"". Đặc biệt, tích hai số nguyên âm là số nguyên dương.",,
c3b16,4,Formula,(-)\cdot(+)=(-);\quad (+)\cdot(+)=(+);\quad (-)\cdot(-)=(+),,
c3b16,5,Example,"**Ví dụ.** Tính $(-6)\cdot 5$ và $(-4)\cdot(-7)$.

**Lời giải.** $(-6)\cdot 5=-30$. $(-4)\cdot(-7)=28$.",,
c3b16,6,Definition,"**Tính chất của phép nhân số nguyên.** giao hoán, kết hợp, nhân với 1, và phân phối đối với phép cộng — tương tự trong $\mathbb{N}$.",,
c3b16,7,Note,**Chú ý.** Tích chứa một số chẵn thừa số nguyên âm là số dương; chứa một số lẻ thừa số nguyên âm là số âm. $a\cdot 0=0$.,,
c3b17,1,Heading,# Bài 17. Phép chia hết. Ước và bội của một số nguyên,,
c3b17,2,Definition,"**Phép chia hết trong $\mathbb{Z}$.** Cho $a,b\in\mathbb{Z}$, $b\ne 0$. Nếu có $q\in\mathbb{Z}$ sao cho $a=b\cdot q$ thì ta nói $a$ chia hết cho $b$.",,
c3b17,3,Definition,"**Dấu của thương.** Quy tắc dấu của phép chia giống phép nhân: cùng dấu cho thương dương, khác dấu cho thương âm.",,
c3b17,4,Formula,(-36):(-4)=9;\qquad (-36):4=-9,,
c3b17,5,Definition,"**Ước và bội của một số nguyên.** Nếu $a\ \vdots\ b$ thì $b$ là ước của $a$, $a$ là bội của $b$. Các ước của một số nguyên gồm cả ước dương và ước âm.",,
c3b17,6,Example,"**Ví dụ.** Tìm tất cả các ước của $-8$.

**Lời giải.** $Ư(-8)=\{\pm 1;\pm 2;\pm 4;\pm 8\}$.",,
c3b17,7,Note,**Chú ý.** Nếu $c$ là ước của $a$ và của $b$ thì $c$ cũng là ước của $a+b$ và $a-b$.,,
c3lt,1,Heading,# Luyện tập chung — Chương III,,
c3lt,2,Text,"Ôn lại: tập $\mathbb{Z}$, thứ tự và số đối; cộng, trừ số nguyên; quy tắc dấu ngoặc và tổng đại số; nhân, chia số nguyên và quy tắc dấu.",,
c3lt,3,Note,**Chú ý.** Hãy làm phần bài tập đính kèm của bài này để tự kiểm tra. Ghi lại những câu sai để ôn lại lý thuyết tương ứng.,,
c3cc,1,Heading,# Bài tập cuối chương III,,
c3cc,2,Text,"Tổng hợp toàn chương: tính nhanh với số nguyên; bài toán thực tế về nhiệt độ, độ cao, thu – chi; ước và bội của một số nguyên.",,
c3cc,3,Note,**Chú ý.** Hãy làm phần bài tập đính kèm của bài này để tự kiểm tra. Ghi lại những câu sai để ôn lại lý thuyết tương ứng.,,
c4b18,1,Heading,# Bài 18. Hình tam giác đều. Hình vuông. Hình lục giác đều,,
c4b18,2,Text,"Các hình này xuất hiện nhiều trong thực tế: biển báo giao thông, gạch lát nền, tổ ong…",,
c4b18,3,Definition,"**Hình tam giác đều.** có ba cạnh bằng nhau và ba góc bằng nhau, mỗi góc bằng $60^\circ$.",,
c4b18,4,Definition,"**Hình vuông.** có bốn cạnh bằng nhau, bốn góc vuông, hai đường chéo bằng nhau và vuông góc với nhau.",,
c4b18,5,Definition,**Hình lục giác đều.** có sáu cạnh bằng nhau và sáu góc bằng nhau; ba đường chéo chính bằng nhau và cắt nhau tại một điểm chia mỗi đường chéo thành hai phần bằng nhau.,,
c4b18,6,Formula,"\text{Tam giác đều: } P=3a;\qquad \text{Hình vuông: } P=4a,\ \ S=a^2",,
c4b18,7,Example,"**Ví dụ.** Một viên gạch hình vuông cạnh 40 cm. Tính chu vi và diện tích viên gạch.

**Lời giải.** $P=4\cdot 40=160$ cm; $S=40^2=1600\ \text{cm}^2$.",,
c4b18,8,Note,**Chú ý.** Lục giác đều được ghép bởi 6 tam giác đều bằng nhau có chung một đỉnh ở tâm.,,
c4b19,1,Heading,# Bài 19. Hình chữ nhật. Hình thoi. Hình bình hành. Hình thang cân,,
c4b19,2,Definition,**Hình chữ nhật.** có bốn góc vuông; các cạnh đối bằng nhau và song song; hai đường chéo bằng nhau và cắt nhau tại trung điểm mỗi đường.,,
c4b19,3,Definition,**Hình thoi.** có bốn cạnh bằng nhau; các cạnh đối song song; hai đường chéo vuông góc với nhau và cắt nhau tại trung điểm mỗi đường.,,
c4b19,4,Definition,**Hình bình hành.** có các cạnh đối bằng nhau và song song; các góc đối bằng nhau; hai đường chéo cắt nhau tại trung điểm mỗi đường.,,
c4b19,5,Definition,"**Hình thang cân.** có hai cạnh đáy song song, hai cạnh bên bằng nhau, hai góc kề một đáy bằng nhau và hai đường chéo bằng nhau.",,
c4b19,6,Example,"**Ví dụ.** Hình chữ nhật có hai kích thước 5 cm và 8 cm. Tính độ dài đường chéo bằng cách vẽ và đo, rồi tính chu vi.

**Lời giải.** Chu vi $P=2(5+8)=26$ cm. Đường chéo đo được xấp xỉ $9{,}4$ cm (bằng $\sqrt{5^2+8^2}$, học ở lớp trên).",,
c4b19,7,Note,"**Chú ý.** Hình vuông vừa là hình chữ nhật, vừa là hình thoi.",,
c4b20,1,Heading,# Bài 20. Chu vi và diện tích của một số tứ giác đã học,,
c4b20,2,Definition,**Chu vi.** của một hình bằng tổng độ dài các cạnh của hình đó.,,
c4b20,3,Definition,"**Công thức diện tích.** Hình chữ nhật: $S=a\cdot b$. Hình vuông: $S=a^2$. Hình bình hành: $S=a\cdot h$ ($h$ là chiều cao ứng với cạnh $a$). Hình thoi: $S=\dfrac{1}{2}\cdot m\cdot n$ ($m,n$ là hai đường chéo). Hình thang: $S=\dfrac{1}{2}(a+b)\cdot h$.",,
c4b20,4,Formula,S_{\text{cn}}=ab;\quad S_{\text{bh}}=ah;\quad S_{\text{thoi}}=\tfrac12 mn;\quad S_{\text{thang}}=\tfrac12 (a+b)h,,
c4b20,5,Example,"**Ví dụ.** Mảnh vườn hình thang có hai đáy 10 m và 14 m, chiều cao 8 m. Tính diện tích.

**Lời giải.** $S=\dfrac{1}{2}(10+14)\cdot 8=\dfrac{1}{2}\cdot 24\cdot 8=96\ \text{m}^2$.",,
