QuestionKey,BankKey,NodeKey,QuestionType,Difficulty,QuestionText,CorrectAnswer,Explanation
ctst6-c5-05,ctst6,c5,FillBlank,Medium,Tính và rút gọn: 3/5 + 3/4 = ? (viết phân số tối giản dạng a/b),27/20,3/5 + 3/4 = 27/20 = 27/20.
ctst6-c5-06,ctst6,c5,MultipleChoice,Hard,Phân số nào lớn hơn: 7/9 hay 5/6?,5/6,Quy đồng: 7/9 = 42/54; 5/6 = 45/54.
ctst6-c5-07,ctst6,c5,MultipleChoice,Medium,Kết quả của 2/2 × 6/5 (rút gọn) là:,6/5,2/2 × 6/5 = 12/10 = 6/5.
ctst6-c5-08,ctst6,c5,TrueFalse,Hard,Khẳng định sau đúng hay sai: 3/2 = 6/4.,true,Nhân cả tử và mẫu của 3/2 với 2 được 6/4.
ctst6-c6-01,ctst6,c6,MultipleChoice,Hard,"Kết quả của phép tính 10,4 + 6,6 là:",17,"10,4 + 6,6 = 17."
ctst6-c6-02,ctst6,c6,FillBlank,Easy,"Làm tròn số 95,57 đến hàng phần mười.","95,6","Nhìn chữ số hàng phần trăm: 95,57 ≈ 95,6."
ctst6-c6-03,ctst6,c6,MultipleChoice,Hard,50% của 80 là:,40,80 × 50/100 = 40.
ctst6-c6-04,ctst6,c6,TrueFalse,Medium,"Khẳng định sau đúng hay sai: 7,56 > 7,92.",false,"So sánh phần nguyên rồi phần thập phân: 7,56 < 7,92."
ctst6-c6-05,ctst6,c6,MultipleChoice,Medium,"Kết quả của phép tính 16,6 − 8,4 là:","8,2","16,6 − 8,4 = 8,2."
ctst6-c6-06,ctst6,c6,FillBlank,Easy,"Làm tròn số 95,56 đến hàng phần mười.","95,6","Nhìn chữ số hàng phần trăm: 95,56 ≈ 95,6."
ctst6-c6-07,ctst6,c6,MultipleChoice,Hard,5% của 185 là:,"9,25","185 × 5/100 = 9,25."
ctst6-c6-08,ctst6,c6,TrueFalse,Medium,"Khẳng định sau đúng hay sai: 7,37 > 1,04.",true,"So sánh phần nguyên rồi phần thập phân: 7,37 > 1,04."
ctst6-c7-01,ctst6,c7,MultipleChoice,Easy,Số trục đối xứng của hình vuông là:,4,hình vuông có 4 trục đối xứng.
ctst6-c7-02,ctst6,c7,TrueFalse,Easy,"Khẳng định sau đúng hay sai: chữ in hoa ""G"" có trục đối xứng.",false,Chữ G không có trục đối xứng.
ctst6-c7-03,ctst6,c7,TrueFalse,Medium,Khẳng định sau đúng hay sai: Hình thang cân có tâm đối xứng.,false,Hình này không có tâm đối xứng.
ctst6-c7-04,ctst6,c7,FillBlank,Easy,Số trục đối xứng của hình thang cân là bao nhiêu?,1,hình thang cân có 1 trục đối xứng.
ctst6-c7-05,ctst6,c7,MultipleChoice,Hard,Số trục đối xứng của hình tròn là:,Vô số,hình tròn có vô số trục đối xứng.
ctst6-c7-06,ctst6,c7,TrueFalse,Hard,"Khẳng định sau đúng hay sai: chữ in hoa ""H"" có trục đối xứng.",true,Chữ H có ít nhất một trục đối xứng.
ctst6-c7-07,ctst6,c7,TrueFalse,Medium,Khẳng định sau đúng hay sai: Hình chữ nhật có tâm đối xứng.,true,Quay nửa vòng quanh tâm thì hình trùng chính nó.
ctst6-c7-08,ctst6,c7,FillBlank,Easy,Số trục đối xứng của hình thang cân là bao nhiêu?,1,hình thang cân có 1 trục đối xứng.
ctst6-c8-01,ctst6,c8,MultipleChoice,Easy,Góc có số đo 71° là góc gì?,Góc nhọn,71° < 90° → góc nhọn.
ctst6-c8-02,ctst6,c8,FillBlank,Easy,"Cho đoạn thẳng AB = 14 cm, M là trung điểm của AB. Độ dài MA bằng bao nhiêu cm?",7,MA = MB = AB : 2 = 14 : 2 = 7 (cm).
ctst6-c8-03,ctst6,c8,TrueFalse,Medium,Khẳng định sau đúng hay sai: Qua một điểm có duy nhất một đường thẳng.,false,Khẳng định này sai.
ctst6-c8-04,ctst6,c8,MultipleChoice,Hard,"Hai góc phụ nhau, một góc có số đo 42°. Góc còn lại có số đo:",48°,Tổng hai góc phụ nhau bằng 90° nên góc còn lại = 90° − 42° = 48°.
ctst6-c8-05,ctst6,c8,MultipleChoice,Medium,Góc có số đo 67° là góc gì?,Góc nhọn,67° < 90° → góc nhọn.
ctst6-c8-06,ctst6,c8,FillBlank,Easy,"Cho đoạn thẳng AB = 4 cm, M là trung điểm của AB. Độ dài MA bằng bao nhiêu cm?",2,MA = MB = AB : 2 = 4 : 2 = 2 (cm).
ctst6-c8-07,ctst6,c8,TrueFalse,Hard,Khẳng định sau đúng hay sai: Qua một điểm có duy nhất một đường thẳng.,false,Khẳng định này sai.
ctst6-c8-08,ctst6,c8,MultipleChoice,Medium,"Hai góc phụ nhau, một góc có số đo 63°. Góc còn lại có số đo:",27°,Tổng hai góc phụ nhau bằng 90° nên góc còn lại = 90° − 63° = 27°.
ctst6-c9-01,ctst6,c9,FillBlank,Medium,"Gieo một con xúc xắc 24 lần thì có 5 lần xuất hiện mặt 6 chấm. Xác suất thực nghiệm của sự kiện ""mặt 6 chấm"" là bao nhiêu? (viết phân số tối giản)",5/24,Xác suất thực nghiệm = 5/24 = 5/24.
ctst6-c9-02,ctst6,c9,MultipleChoice,Easy,Bảng số học sinh yêu thích 5 môn thể thao: 8; 4; 3; 3; 11. Tổng số học sinh được khảo sát là:,29,Cộng các giá trị: 8 + 4 + 3 + 3 + 11 = 29.
ctst6-c9-03,ctst6,c9,TrueFalse,Medium,Khẳng định sau đúng hay sai: Sự kiện ngẫu nhiên là sự kiện luôn xảy ra.,false,Khẳng định này sai.
ctst6-c9-04,ctst6,c9,MultipleChoice,Easy,Bảng số học sinh đạt điểm giỏi: Toán: 7; Văn: 9; Anh: 6; Khoa học: 8; Thể dục: 13. Môn nào có nhiều học sinh đạt điểm giỏi nhất?,Thể dục,Giá trị lớn nhất là 13 ứng với môn Thể dục.
ctst6-c9-05,ctst6,c9,FillBlank,Medium,"Gieo một con xúc xắc 12 lần thì có 7 lần xuất hiện mặt 6 chấm. Xác suất thực nghiệm của sự kiện ""mặt 6 chấm"" là bao nhiêu? (viết phân số tối giản)",7/12,Xác suất thực nghiệm = 7/12 = 7/12.
ctst6-c9-06,ctst6,c9,MultipleChoice,Easy,Bảng số học sinh yêu thích 5 môn thể thao: 7; 7; 4; 5; 11. Tổng số học sinh được khảo sát là:,34,Cộng các giá trị: 7 + 7 + 4 + 5 + 11 = 34.
ctst6-c9-07,ctst6,c9,TrueFalse,Easy,"Khẳng định sau đúng hay sai: Khi gieo một con xúc xắc, sự kiện ""số chấm không vượt quá 6"" là sự kiện chắc chắn.",true,Khẳng định đúng theo định nghĩa.
ctst6-c9-08,ctst6,c9,MultipleChoice,Easy,Bảng số học sinh đạt điểm giỏi: Toán: 8; Văn: 11; Anh: 3; Khoa học: 11; Thể dục: 12. Môn nào có nhiều học sinh đạt điểm giỏi nhất?,Thể dục,Giá trị lớn nhất là 12 ứng với môn Thể dục.
